               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.058572,             0.14878,           0.0025706,             0.71905,             0.66334,             0.70816,             0.27954,            0.052493,             0.11451,           0.0012093,            0.005149,            0.005149,            0.005149
                  51,            0.058619,             0.15005,           0.0027235,             0.73846,             0.67347,             0.72063,             0.29138,            0.052109,             0.11449,           0.0011777,             0.00505,             0.00505,             0.00505
                  52,            0.058382,              0.1504,           0.0025246,             0.73587,             0.67491,             0.72191,             0.29225,            0.052106,             0.11439,           0.0012408,            0.004951,            0.004951,            0.004951
                  53,            0.057939,             0.15238,           0.0024827,             0.74052,             0.68838,             0.72988,             0.29466,            0.051711,             0.11342,            0.001183,            0.004852,            0.004852,            0.004852
                  54,            0.057708,             0.14879,           0.0024379,             0.73722,             0.68969,             0.73331,             0.30082,            0.051438,             0.11326,           0.0011616,            0.004753,            0.004753,            0.004753
                  55,            0.057628,             0.14655,           0.0023892,             0.75491,             0.66773,             0.72818,             0.29031,            0.051698,             0.11241,           0.0011212,            0.004654,            0.004654,            0.004654
                  56,            0.057424,             0.14697,           0.0024699,             0.74476,             0.67674,              0.7311,             0.29557,            0.051584,             0.11322,           0.0011605,            0.004555,            0.004555,            0.004555
                  57,            0.057396,             0.14931,           0.0025098,             0.76824,             0.70614,             0.75653,             0.31795,            0.050798,             0.11209,           0.0010492,            0.004456,            0.004456,            0.004456
                  58,            0.057268,             0.14565,           0.0023894,             0.77099,             0.70646,             0.75944,              0.3198,            0.050727,             0.11128,           0.0010508,            0.004357,            0.004357,            0.004357
                  59,            0.057178,             0.14481,           0.0023032,             0.77027,             0.70114,             0.75736,             0.31397,            0.050427,             0.11062,           0.0009671,            0.004258,            0.004258,            0.004258
                  60,            0.056853,             0.14636,           0.0023424,             0.77615,             0.72404,             0.76918,             0.32765,             0.05023,             0.11039,           0.0010543,            0.004159,            0.004159,            0.004159
                  61,            0.056537,             0.14451,           0.0023039,             0.78288,             0.70512,             0.76602,             0.32483,            0.050283,             0.10997,            0.001005,             0.00406,             0.00406,             0.00406
                  62,            0.056447,             0.14801,           0.0022744,             0.77902,             0.73722,              0.7841,             0.33551,            0.049947,             0.11154,          0.00095722,            0.003961,            0.003961,            0.003961
                  63,            0.055988,             0.14411,           0.0022049,             0.80202,             0.74767,             0.79659,             0.34604,            0.049413,             0.10854,          0.00089966,            0.003862,            0.003862,            0.003862
                  64,            0.056001,             0.14557,           0.0021386,             0.79996,             0.74571,             0.80064,             0.34526,            0.049081,             0.10774,          0.00084549,            0.003763,            0.003763,            0.003763
                  65,             0.05599,             0.14734,            0.002218,              0.8063,             0.74674,             0.80272,             0.35131,            0.049167,              0.1077,          0.00090268,            0.003664,            0.003664,            0.003664
                  66,            0.055626,             0.14392,           0.0021524,             0.80711,             0.75552,             0.80535,             0.35441,            0.048923,             0.10752,          0.00086608,            0.003565,            0.003565,            0.003565
                  67,            0.055474,             0.14348,           0.0021819,             0.82369,              0.7593,              0.8134,             0.36644,            0.048282,             0.10643,          0.00081502,            0.003466,            0.003466,            0.003466
                  68,            0.055372,             0.14692,           0.0021364,             0.82863,             0.76906,             0.82306,             0.36658,            0.048194,             0.10607,          0.00078533,            0.003367,            0.003367,            0.003367
                  69,            0.055209,             0.14253,            0.002035,             0.81957,             0.76322,               0.819,             0.36844,            0.048386,             0.10652,          0.00079086,            0.003268,            0.003268,            0.003268
                  70,            0.054989,             0.14053,           0.0021171,             0.83694,             0.77303,             0.83069,             0.37981,            0.047605,             0.10442,          0.00077418,            0.003169,            0.003169,            0.003169
                  71,            0.054858,             0.14357,           0.0020219,             0.81782,             0.76817,             0.81692,             0.36312,            0.048689,             0.10752,           0.0007837,             0.00307,             0.00307,             0.00307
                  72,            0.054888,             0.14162,           0.0020686,             0.83014,             0.78318,             0.83324,             0.37593,            0.048199,             0.10591,          0.00077083,            0.002971,            0.002971,            0.002971
                  73,            0.054462,              0.1404,           0.0019734,             0.84065,             0.77765,             0.83262,             0.38049,            0.047691,             0.10511,          0.00073632,            0.002872,            0.002872,            0.002872
                  74,            0.054347,             0.14241,           0.0019352,             0.84997,             0.78663,             0.84264,             0.39227,            0.046958,             0.10349,          0.00071314,            0.002773,            0.002773,            0.002773
                  75,            0.054095,             0.14213,           0.0020285,              0.8444,             0.78191,             0.83749,             0.38732,            0.047751,             0.10394,          0.00071914,            0.002674,            0.002674,            0.002674
                  76,            0.054027,             0.14012,           0.0019662,              0.8445,             0.79443,             0.84781,             0.39548,             0.04678,             0.10397,          0.00070884,            0.002575,            0.002575,            0.002575
                  77,            0.053781,             0.14057,           0.0019357,             0.85596,             0.79776,             0.84967,             0.40394,            0.046547,             0.10234,          0.00071573,            0.002476,            0.002476,            0.002476
                  78,            0.053506,             0.13807,           0.0019111,             0.85129,             0.79991,             0.85071,             0.40332,            0.046474,              0.1024,          0.00067929,            0.002377,            0.002377,            0.002377
                  79,             0.05353,             0.14095,           0.0018883,             0.85992,             0.81202,             0.86095,             0.41384,            0.046126,             0.10185,          0.00067288,            0.002278,            0.002278,            0.002278
                  80,            0.053128,             0.13856,           0.0018478,             0.86736,              0.8129,             0.86391,             0.41679,            0.045857,              0.1006,          0.00063162,            0.002179,            0.002179,            0.002179
                  81,            0.053175,             0.13672,           0.0018887,              0.8612,             0.81132,             0.86054,             0.41282,            0.046272,             0.10136,          0.00064423,             0.00208,             0.00208,             0.00208
                  82,            0.052913,             0.13856,           0.0018447,             0.87228,             0.81148,             0.86583,             0.41959,            0.045811,             0.10036,           0.0006401,            0.001981,            0.001981,            0.001981
                  83,            0.052816,             0.13559,           0.0017968,             0.86856,             0.81276,             0.86662,             0.42054,            0.045519,              0.1004,          0.00062669,            0.001882,            0.001882,            0.001882
                  84,            0.052728,             0.13909,           0.0017442,             0.88017,             0.81927,              0.8741,             0.42935,            0.045305,            0.099643,          0.00059986,            0.001783,            0.001783,            0.001783
                  85,            0.052472,             0.13631,           0.0017534,              0.8798,             0.82659,             0.87596,             0.42929,            0.045161,            0.099095,           0.0005824,            0.001684,            0.001684,            0.001684
                  86,            0.052426,             0.13778,            0.001792,              0.8844,              0.8319,             0.88092,             0.43979,            0.044796,            0.098272,          0.00059064,            0.001585,            0.001585,            0.001585
                  87,            0.052461,             0.13789,           0.0018108,             0.88247,             0.83244,             0.87938,             0.43873,            0.045076,            0.099007,          0.00058089,            0.001486,            0.001486,            0.001486
                  88,            0.052089,             0.13627,           0.0017074,             0.88698,             0.83266,             0.88302,             0.44099,            0.044737,            0.098151,           0.0005697,            0.001387,            0.001387,            0.001387
                  89,             0.05203,             0.13684,           0.0017951,             0.88743,             0.83382,             0.88408,             0.44607,            0.044707,            0.097639,          0.00055891,            0.001288,            0.001288,            0.001288
                  90,            0.051876,             0.13489,           0.0016177,             0.89129,             0.83526,             0.88446,             0.44773,            0.044522,            0.097163,          0.00055762,            0.001189,            0.001189,            0.001189
                  91,            0.051829,              0.1341,           0.0017718,             0.89156,             0.83518,             0.88515,             0.45092,            0.044433,            0.097172,          0.00055172,             0.00109,             0.00109,             0.00109
                  92,            0.051552,             0.13529,            0.001784,             0.89456,             0.84094,             0.88967,             0.45562,            0.044038,            0.096463,          0.00054815,            0.000991,            0.000991,            0.000991
                  93,            0.051545,             0.13396,           0.0016647,             0.89631,             0.84362,             0.89179,             0.46013,            0.043791,            0.096273,          0.00053708,            0.000892,            0.000892,            0.000892
                  94,             0.05124,             0.13325,           0.0016371,             0.89666,             0.84476,             0.89371,              0.4622,            0.043767,            0.095551,           0.0005236,            0.000793,            0.000793,            0.000793
                  95,            0.051044,             0.13398,           0.0017089,             0.89936,             0.84487,             0.89393,             0.46768,            0.043617,            0.095244,          0.00052123,            0.000694,            0.000694,            0.000694
                  96,            0.050963,             0.13279,           0.0016738,             0.89871,             0.84666,             0.89429,             0.46773,            0.043471,            0.095251,          0.00052131,            0.000595,            0.000595,            0.000595
                  97,            0.051042,             0.13407,           0.0016602,             0.89936,              0.8499,             0.89499,              0.4684,            0.043396,            0.095148,          0.00051402,            0.000496,            0.000496,            0.000496
                  98,             0.05086,             0.13194,           0.0016262,             0.90063,             0.84995,             0.89657,             0.47132,            0.043345,            0.094886,          0.00051699,            0.000397,            0.000397,            0.000397
                  99,            0.050583,             0.13463,           0.0015323,             0.90244,             0.84941,             0.89712,             0.47354,            0.043318,            0.094756,          0.00051209,            0.000298,            0.000298,            0.000298
